drug1, drug2, mechanism, action, property, description
Ethylmorphine,Ketazolam,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Ketazolam is combined with Ethylmorphine
Ethylmorphine,Ketobemidone,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Ketobemidone is combined with Ethylmorphine
Ethylmorphine,Lamotrigine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Lamotrigine is combined with Ethylmorphine
Ethylmorphine,Levobupivacaine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Levobupivacaine is combined with Ethylmorphine
Ethylmorphine,Levocetirizine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Levocetirizine is combined with Ethylmorphine
Ethylmorphine,Levodopa,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Levodopa is combined with Ethylmorphine
Ethylmorphine,Levomethadylacetate,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Levomethadylacetate is combined with Ethylmorphine
Ethylmorphine,Lidocaine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Lidocaine is combined with Ethylmorphine
Ethylmorphine,Loratadine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Loratadine is combined with Ethylmorphine
Ethylmorphine,Lorazepam,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Lorazepam is combined with Ethylmorphine
Ethylmorphine,Lurasidone,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Lurasidone is combined with Ethylmorphine
Ethylmorphine,Maprotiline,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Maprotiline is combined with Ethylmorphine
Ethylmorphine,Meclizine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Meclizine is combined with Ethylmorphine
Ethylmorphine,Melatonin,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Melatonin is combined with Ethylmorphine
Ethylmorphine,Melperone,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Melperone is combined with Ethylmorphine
Ethylmorphine,Meprobamate,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Meprobamate is combined with Ethylmorphine
Ethylmorphine,Mersalyl,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Mersalyl is combined with Ethylmorphine
Ethylmorphine,Mesoridazine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Mesoridazine is combined with Ethylmorphine
Ethylmorphine,Methazolamide,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Methazolamide is combined with Ethylmorphine
Ethylmorphine,Methoxyflurane,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Methoxyflurane is combined with Ethylmorphine
Ethylmorphine,Methsuximide,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Methsuximide is combined with Ethylmorphine
Ethylmorphine,Methylphenobarbital,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Methylphenobarbital is combined with Ethylmorphine
Ethylmorphine,Midazolam,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Midazolam is combined with Ethylmorphine
Ethylmorphine,Minaprine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Minaprine is combined with Ethylmorphine
Ethylmorphine,Moclobemide,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Moclobemide is combined with Ethylmorphine
Ethylmorphine,Morphine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Morphine is combined with Ethylmorphine
Etizolam,Etomidate,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Etomidate is combined with Etizolam
Etizolam,Ezogabine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Ezogabine is combined with Etizolam
Etizolam,Felbamate,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Felbamate is combined with Etizolam
Etizolam,Fentanyl,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Fentanyl is combined with Etizolam
Etizolam,Fexofenadine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Fexofenadine is combined with Etizolam
Etizolam,Flibanserin,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Flibanserin is combined with Etizolam
Etizolam,Flunarizine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Flunarizine is combined with Etizolam
Etizolam,Flunitrazepam,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Flunitrazepam is combined with Etizolam
Etizolam,Fluoxetine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Fluoxetine is combined with Etizolam
Etizolam,Flupentixol,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Flupentixol is combined with Etizolam
Etizolam,Fluphenazine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Fluphenazine is combined with Etizolam
Etizolam,Flurazepam,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Flurazepam is combined with Etizolam
Etizolam,Fluticasonepropionate,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Fluticasonepropionate is combined with Etizolam
Etizolam,Fospropofol,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Fospropofol is combined with Etizolam
Etizolam,Gabapentin,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Gabapentin is combined with Etizolam
Etizolam,Glutethimide,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Glutethimide is combined with Etizolam
Etizolam,Guanfacine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Guanfacine is combined with Etizolam
Etizolam,Haloperidol,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Haloperidol is combined with Etizolam
Etizolam,Halothane,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Halothane is combined with Etizolam
Etizolam,Hexobarbital,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Hexobarbital is combined with Etizolam
Etizolam,Hydromorphone,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Hydromorphone is combined with Etizolam
Etizolam,Iloperidone,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Iloperidone is combined with Etizolam
Etizolam,Imipramine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Imipramine is combined with Etizolam
Etizolam,Isoflurane,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Isoflurane is combined with Etizolam
Etizolam,Ketamine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Ketamine is combined with Etizolam
Etizolam,Ketazolam,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Ketazolam is combined with Etizolam
Etizolam,Ketobemidone,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Ketobemidone is combined with Etizolam
Etizolam,Lamotrigine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Lamotrigine is combined with Etizolam
Etizolam,Levobupivacaine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Levobupivacaine is combined with Etizolam
Etizolam,Levocetirizine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Levocetirizine is combined with Etizolam
Etizolam,Levodopa,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Levodopa is combined with Etizolam
Etizolam,Levomethadylacetate,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Levomethadylacetate is combined with Etizolam
Etizolam,Levomilnacipran,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Levomilnacipran is combined with Etizolam
Etizolam,Lidocaine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Lidocaine is combined with Etizolam
Etizolam,Loratadine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Loratadine is combined with Etizolam
Etizolam,Lorazepam,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Lorazepam is combined with Etizolam
Etizolam,Lurasidone,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Lurasidone is combined with Etizolam
Etizolam,Maprotiline,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Maprotiline is combined with Etizolam
Etizolam,Meclizine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Meclizine is combined with Etizolam
Etizolam,Melatonin,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Melatonin is combined with Etizolam
Etizolam,Melperone,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Melperone is combined with Etizolam
